LONGITUD,LATITUD,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,CALIDAD_AS,CALIDAD_CD,CALIDAD_CR,CALIDAD_HG,CALIDAD_PB,CALIDAD_MN,CALIDAD_FE,SEMAFORO,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
-90.70225,19.52958,291.28,Alta,5791.0,Indeseable para riego,3606.0,Cultivos tolerantes,Salobres,0.6042,Media,580.24,Muy dura e indeseable usos industrial y domestico,Buena calidad,3.1708,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"CONDUC,SDT_ra,SDT_salin,DT,",SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
-90.62253,19.27276,245.44,Alta,1366.0,Permisible para riego,907.0,Cultivos sensibles,Potable - Dulce,0.9832,Potable - Optima,955.22,Muy dura e indeseable usos industrial y domestico,Buena calidad,1.1968,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"DT,",SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
-89.85167,19.74251,319.93,Alta,1211.0,Permisible para riego,803.0,Cultivos sensibles,Potable - Dulce,1.658,Alta,315.78,Potable - Dura,Potable - Excelente,1.0291,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"FLUO,",SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
-89.74793000000001,20.008979999999998,300.83,Alta,1751.0,Permisible para riego,1158.0,Cultivos con manejo especial,Ligeramente salobres,1.4981,Potable - Optima,584.19,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,0.838,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"DT,",SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
-89.90955,20.103189999999998,305.6,Alta,1802.0,Permisible para riego,1191.0,Cultivos con manejo especial,Ligeramente salobres,1.7838,Alta,722.34,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,1.4103,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"FLUO,DT,",SI,SI,SI,SI,NO,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
-90.1235,20.1959,296.05,Alta,2266.0,Dudosa para riego,1485.0,Cultivos con manejo especial,Ligeramente salobres,0.4265,Media,659.18,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,5.4816,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"CONDUC,DT,",SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
-90.16611999999999,20.14573,279.82,Alta,2762.0,Dudosa para riego,1777.0,Cultivos con manejo especial,Ligeramente salobres,0.5588,Media,951.28,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,4.3521,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"CONDUC,DT,",SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
-90.22615,20.02983,241.62,Alta,2486.0,Dudosa para riego,1595.0,Cultivos con manejo especial,Ligeramente salobres,0.828,Potable - Optima,832.86,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,2.1409,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"CONDUC,DT,",SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
-90.059102,20.321355,304.65,Alta,2595.0,Dudosa para riego,1699.0,Cultivos con manejo especial,Ligeramente salobres,0.489,Media,773.65,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,8.3893,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"CONDUC,DT,",SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
-90.0605,20.37721,297.01,Alta,3207.0,Indeseable para riego,2097.0,Cultivos tolerantes,Salobres,0.2469,Baja,959.17,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,5.6645,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"CONDUC,SDT_ra,SDT_salin,DT,",SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
